Name,PassportNumber,IsCheckedIn,CheckinDate,CheckoutDate,RoomNumber,Wifi,Breakfast,ExtraBed,RoomNumber,Wifi,Breakfast,ExtraBed
Amelia,S1234567A,FALSE,15/11/2022,20/11/2022,101,TRUE,TRUE,FALSE,,,,
Bob,G1234567A,FALSE,25/12/2022,31/12/2022,302,FALSE,TRUE,FALSE,,,,
Cody,G2345678A,FALSE,26/12/2022,31/12/2022,202,FALSE,TRUE,FALSE,,,,
Edda,S3456789A,TRUE,16/1/2023,26/1/2023,303,FALSE,FALSE,TRUE,204,FALSE,FALSE,FALSE
Daniel,S1122334B,TRUE,17/1/2023,20/1/2023,102,TRUE,FALSE,FALSE,,,,
Felix,A2233445C,TRUE,17/1/2023,25/1/2023,201,TRUE,TRUE,FALSE,202,TRUE,TRUE,FALSE
Amelia,S1234567A,TRUE,31/1/2023,5/2/2023,304,FALSE,FALSE, TRUE,,,,
Jun Jie,T1234567H,TRUE,29/1/2023,4/2/2023,205,FALSE,FALSE, TRUE,,,,
Amelia,S1234567A,TRUE,31/1/2023,7/2/2023,304,FALSE,FALSE, TRUE,,,,
Bob,G1234567A,TRUE,1/3/2023,7/3/2023,101,TRUE,FALSE, FALSE,303,FALSE,FALSE, TRUE
John,T2345678A,TRUE,05/02/2023,07/02/2023,101,TRUE,TRUE, FALSE
John,T2345678A,TRUE,05/02/2023,18/01/2118,101,TRUE,TRUE, FALSE
Amelia,S1234567A,FALSE,31/01/2023,03/02/2023,304,FALSE,FALSE, TRUE
